,id,surname,givenname,age,province,longitude,latitude,occupation,relationship,income,balances
0,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,Tilden,Khalil,52,ON,-79.3846568792,43.669558393,"5412 Accounting, tax preparation, bookkeeping and payroll services",Married,18566.75,11140.05
1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,Tewari,Tanner,37,ON,-79.3139225212,43.7662153439,"4145 Pharmaceuticals, toiletries, cosmetics and sundries wholesaler-distributors",Married,28742.0,17245.199999999993
2,21821034-8ad8-4c00-bfd4-b74e694066ba,Scoby,Zachary,55,ON,-79.5098139725,43.7576943421,4481 Clothing stores,Married,30983.3,18589.98
3,cad31095-cae1-49f4-bea8-78c42e2d92b7,Lowthert,Milan,35,ON,-79.4372854635,43.6479058136,6111 Elementary and secondary schools,Married,35061.0,21036.6
4,ce16ef42-a4e8-41e0-8f45-1ccf3079b659,Flink,Jackson,15,ON,-79.323157635,43.69619885979999,,Single,0.0,160.89
5,24a794a3-ea5b-4245-bd7a-eb8466f4eb7d,Matts,Brooke,36,ON,-79.5954833,43.755805078,"5413 Architectural, engineering and related services",Married,41919.0,25151.4
6,f2d298fd-8c7c-4c10-83a4-967328686cc0,Dannecker,Mammie,16,ON,-79.4079120136,43.7288538045,,Single,0.0,157.62
7,0197dacf-35ce-4060-9be5-3d030b1eeb8d,Kaminski,Peter,24,ON,-79.3693963392,43.785747873199995,3251 Basic chemical manufacturing,Single,7890.96,4734.57
8,8f5b8262-ff6c-47a3-9b9e-387c829e3403,Kreck,Le,54,ON,-79.40513064619999,43.7349962001,4421 Furniture stores,Married,86305.2,51783.12
9,906fe9e0-ab82-4a4a-b60f-0cbf298b098d,Mertes,Harvey,34,ON,-79.4885909687,43.609329001400006,"3256 Soap, cleaning compound and toilet preparation manufacturing",Married,31019.0,18611.4
10,c3c6f89e-0920-41c7-b585-c7018042ffd1,Reasner,Joan,54,ON,-79.3830971841,43.7689760134,4911 Postal service,Married,29622.85,17773.71
11,5f16d1ba-21fc-4651-a6b0-2779acf1b3b4,Cahela,Richelle,52,ON,-79.5787506011,43.6291344462,4539 Other miscellaneous store retailers,Married,41359.75,24815.85
12,21bbfcfa-255d-44d0-a910-5f259c47af6d,Blaxland,Natalya,34,ON,-79.5181434205,43.739202145,,Married,0.0,0.0
13,ef3aef2a-46a9-41fd-9331-bb28a42fe666,Dohring,Chassidy,34,ON,-79.390705463,43.6739384943,5239 Other financial investment activities,Married,53468.0,32080.800000000007
14,05c500f2-8444-4223-82a5-3fb131cea332,Cinelli,Egon,19,ON,-79.3538144471,43.6891811387,5152 Pay and specialty television,Single,4237.53,2542.53
15,06440fd0-f424-444a-93e2-706aab216dfe,Mulliniks,Rob,57,ON,-79.414356893,43.641867117,"5416 Management, scientific and technical consulting services",Married,48942.85,29365.71
16,25ff9964-1aa9-4b42-b25b-926a9360f129,Roccia,Truman,41,ON,-79.32540301819999,43.761593976099995,6112 Community colleges and C.E.G.E.P.s,Married,36595.9,21957.54
17,6d3e56d3-e2aa-4c68-8697-27257d8ab10e,Suniga,Shara,31,ON,-79.3033486874,43.7222813494,4132 Beverage wholesaler-distributors,Divorced,39961.0,23976.6
18,b03efa92-c68e-403a-ae76-26dea3f27313,Renaker,Sonja,34,ON,-79.50281981010001,43.597145232799996,"3328 Coating, engraving, heat treating and allied activities",Married,48257.0,28954.2
19,7b3f0db2-46ad-4be0-b67b-f1dd7f9c6f01,Fuquay,Cristin,22,ON,-79.4168317037,43.7279454955,2131 Support activities for mining and oil and gas extraction,Single,13575.21,8145.12
20,30ddb4f8-3e7c-4eba-bca2-9721e47119a8,Basham,Carsten,56,ON,-79.1696451973,43.7769304099,,Married,0.0,0.0
21,301048c3-314f-41b3-bd6d-04def4ab4e86,Folds,Veronika,34,ON,-79.3139225212,43.7662153439,4529 Other general merchandise stores,Married,30470.0,18282.0
22,6a795a6a-bd80-4335-856d-b3439e08f3e7,Vink,Xavier,60,ON,-79.40513064619999,43.7349962001,6220 Hospitals (6221 to 6223),Married,71309.85,42785.91
23,6456e336-1975-4380-9956-bd2576e00df4,Bousman-Broxterman,Holli,52,ON,-79.3959208986,43.67063782140001,"4532 Office supplies, stationery and gift stores",Married,59415.9,35649.54
24,decbd4aa-e1d9-4bc4-ae1a-ebee2c435a59,Sjaarda,Gudrun,51,ON,-79.4808027202,43.71200670020001,3118 Bakeries and tortilla manufacturing,Married,45473.3,27283.98
